time,meter_name,status,fault_groups
2025-08-29 14:24:13.548808,M3.1,OK,
2025-08-29 14:24:13.548808,M3.2,OK,
2025-08-29 14:24:18.598825,M1.1,OK,
2025-08-29 14:24:18.598825,M1.2,OK,
2025-08-29 14:24:18.598825,M1.3,OK,
2025-08-29 14:24:18.598825,M1.4,OK,
2025-08-29 14:24:18.767819,M2.1,OK,
2025-08-29 14:24:18.767819,M2.2,OK,
2025-08-29 14:24:18.820247,M3.1,OK,
2025-08-29 14:24:18.820247,M3.2,OK,
2025-08-29 14:24:23.870182,M1.1,OK,
2025-08-29 14:24:23.870182,M1.2,OK,
2025-08-29 14:24:23.870182,M1.3,OK,
2025-08-29 14:24:23.870182,M1.4,OK,
2025-08-29 14:24:24.035891,M2.1,OK,
2025-08-29 14:24:24.035891,M2.2,OK,
2025-08-29 14:24:24.084796,M3.1,OK,
2025-08-29 14:24:24.084796,M3.2,OK,
2025-08-29 14:24:29.134611,M1.1,OK,
2025-08-29 14:24:29.134611,M1.2,OK,
2025-08-29 14:24:29.134611,M1.3,OK,
2025-08-29 14:24:29.134611,M1.4,OK,
2025-08-29 14:24:29.231450,M2.1,OK,
2025-08-29 14:24:29.231450,M2.2,OK,
2025-08-29 14:24:29.284536,M3.1,OK,
2025-08-29 14:24:29.284536,M3.2,OK,
2025-08-29 14:24:34.333458,M1.1,OK,
2025-08-29 14:24:34.333458,M1.2,OK,
2025-08-29 14:24:34.333458,M1.3,OK,
2025-08-29 14:24:34.333458,M1.4,OK,
2025-08-29 14:24:34.469967,M2.1,OK,
2025-08-29 14:24:34.469967,M2.2,OK,
2025-08-29 14:24:34.520584,M3.1,OK,
2025-08-29 14:24:34.520584,M3.2,OK,
2025-08-29 14:24:39.570353,M1.1,OK,
2025-08-29 14:24:39.570353,M1.2,OK,
2025-08-29 14:24:39.570353,M1.3,OK,
2025-08-29 14:24:39.570353,M1.4,OK,
2025-08-29 14:24:39.737911,M2.1,OK,
2025-08-29 14:24:39.737911,M2.2,OK,
2025-08-29 14:24:39.787142,M3.1,OK,
2025-08-29 14:24:39.787142,M3.2,OK,
2025-08-29 14:24:44.841799,M1.1,OK,
2025-08-29 14:24:44.841799,M1.2,OK,
2025-08-29 14:24:44.841799,M1.3,OK,
2025-08-29 14:24:44.841799,M1.4,OK,
2025-08-29 14:24:44.999115,M2.1,OK,
2025-08-29 14:24:44.999115,M2.2,OK,
2025-08-29 14:24:45.048922,M3.1,OK,
2025-08-29 14:24:45.048922,M3.2,OK,
2025-08-29 14:24:50.103868,M1.1,OK,
2025-08-29 14:24:50.103868,M1.2,OK,
2025-08-29 14:24:50.103868,M1.3,OK,
2025-08-29 14:24:50.103868,M1.4,OK,
2025-08-29 14:24:50.242651,M2.1,OK,
2025-08-29 14:24:50.242651,M2.2,OK,
2025-08-29 14:24:50.291412,M3.1,OK,
2025-08-29 14:24:50.291412,M3.2,OK,
2025-08-29 14:24:55.343513,M1.1,OK,
2025-08-29 14:24:55.343513,M1.2,OK,
2025-08-29 14:24:55.343513,M1.3,OK,
2025-08-29 14:24:55.343513,M1.4,OK,
2025-08-29 14:24:55.506379,M2.1,OK,
2025-08-29 14:24:55.506379,M2.2,OK,
2025-08-29 14:24:55.556434,M3.1,OK,
2025-08-29 14:24:55.556434,M3.2,OK,
2025-08-29 14:25:00.608260,M1.1,OK,
2025-08-29 14:25:00.608260,M1.2,OK,
2025-08-29 14:25:00.608260,M1.3,OK,
2025-08-29 14:25:00.608260,M1.4,OK,
2025-08-29 14:25:00.815789,M2.1,OK,
2025-08-29 14:25:00.815789,M2.2,OK,
2025-08-29 14:25:00.911475,M3.1,OK,
2025-08-29 14:25:00.911475,M3.2,OK,
2025-08-29 14:25:05.968945,M1.1,OK,
2025-08-29 14:25:05.968945,M1.2,OK,
2025-08-29 14:25:05.968945,M1.3,OK,
2025-08-29 14:25:05.968945,M1.4,OK,
2025-08-29 14:25:06.121919,M2.1,OK,
2025-08-29 14:25:06.121919,M2.2,OK,
2025-08-29 14:25:06.171643,M3.1,OK,
2025-08-29 14:25:06.171643,M3.2,OK,
2025-08-29 14:25:11.219863,M1.1,OK,
2025-08-29 14:25:11.219863,M1.2,OK,
